image path,timestamp,camera,sample,area,barcode
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_19_12:02:52.jpg,2023_10_19_12:02:52,3,2,13383,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_17_12:03:17.jpg,2023_10_17_12:03:17,3,0,2013,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_17_12:03:17.jpg,2023_10_17_12:03:17,3,1,5301,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_17_12:03:17.jpg,2023_10_17_12:03:17,3,2,3474,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_20_12:30:45.jpg,2023_10_20_12:30:45,2,0,10944,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_20_12:30:45.jpg,2023_10_20_12:30:45,2,1,13791,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_20_12:30:45.jpg,2023_10_20_12:30:45,2,2,10701,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:37:51.jpg,2023_10_21_12:37:51,3,0,19029,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:37:51.jpg,2023_10_21_12:37:51,3,1,23853,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:37:51.jpg,2023_10_21_12:37:51,3,2,19983,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_26_12:03:12.jpg,2023_10_26_12:03:12,7,0,12162,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_26_12:03:12.jpg,2023_10_26_12:03:12,7,1,10005,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_26_12:03:12.jpg,2023_10_26_12:03:12,7,2,8742,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_17_12:02:55.jpg,2023_10_17_12:02:55,2,0,0,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_17_12:02:55.jpg,2023_10_17_12:02:55,2,1,0,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_17_12:02:55.jpg,2023_10_17_12:02:55,2,2,834,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_18_12:37:47.jpg,2023_10_18_12:37:47,2,0,7560,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_18_12:37:47.jpg,2023_10_18_12:37:47,2,1,3909,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_18_12:37:47.jpg,2023_10_18_12:37:47,2,2,7479,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:31:38.jpg,2023_10_18_12:31:38,3,0,19323,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:31:38.jpg,2023_10_18_12:31:38,3,1,14148,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:31:38.jpg,2023_10_18_12:31:38,3,2,16557,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_24_12:06:34.jpg,2023_10_24_12:06:34,2,0,9816,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_24_12:06:34.jpg,2023_10_24_12:06:34,2,1,9390,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_24_12:06:34.jpg,2023_10_24_12:06:34,2,2,9315,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:03:44.jpg,2023_10_26_12:03:44,3,0,9702,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:03:44.jpg,2023_10_26_12:03:44,3,1,10422,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_26_12:03:44.jpg,2023_10_26_12:03:44,3,2,9756,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_19_12:04:39.jpg,2023_10_19_12:04:39,7,0,9000,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_19_12:04:39.jpg,2023_10_19_12:04:39,7,1,8463,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_19_12:04:39.jpg,2023_10_19_12:04:39,7,2,7098,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_27_13:58:13.jpg,2023_10_27_13:58:13,2,0,9942,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_27_13:58:13.jpg,2023_10_27_13:58:13,2,1,12012,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_27_13:58:13.jpg,2023_10_27_13:58:13,2,2,9255,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:45:09.jpg,2023_10_21_12:45:09,3,0,6639,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:45:09.jpg,2023_10_21_12:45:09,3,1,9897,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_21_12:45:09.jpg,2023_10_21_12:45:09,3,2,5925,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_25_11:57:04.jpg,2023_10_25_11:57:04,7,0,7413,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_25_11:57:04.jpg,2023_10_25_11:57:04,7,1,8904,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_25_11:57:04.jpg,2023_10_25_11:57:04,7,2,8109,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_27_13:58:23.jpg,2023_10_27_13:58:23,2,0,10776,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_27_13:58:23.jpg,2023_10_27_13:58:23,2,1,11070,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_27_13:58:23.jpg,2023_10_27_13:58:23,2,2,10182,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_26_12:02:52.jpg,2023_10_26_12:02:52,6,0,9321,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_26_12:02:52.jpg,2023_10_26_12:02:52,6,1,10986,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_26_12:02:52.jpg,2023_10_26_12:02:52,6,2,9948,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_21_12:44:36.jpg,2023_10_21_12:44:36,2,0,8193,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_21_12:44:36.jpg,2023_10_21_12:44:36,2,1,9372,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_21_12:44:36.jpg,2023_10_21_12:44:36,2,2,7950,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_20_12:36:28.jpg,2023_10_20_12:36:28,2,0,10497,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_20_12:36:28.jpg,2023_10_20_12:36:28,2,1,9981,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_20_12:36:28.jpg,2023_10_20_12:36:28,2,2,11811,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_19_12:04:59.jpg,2023_10_19_12:04:59,3,0,6555,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_19_12:04:59.jpg,2023_10_19_12:04:59,3,1,7047,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_19_12:04:59.jpg,2023_10_19_12:04:59,3,2,8607,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_25_11:58:17.jpg,2023_10_25_11:58:17,2,0,11934,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_25_11:58:17.jpg,2023_10_25_11:58:17,2,1,11088,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_25_11:58:17.jpg,2023_10_25_11:58:17,2,2,9432,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:35:31.jpg,2023_10_18_12:35:31,3,0,6432,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:35:31.jpg,2023_10_18_12:35:31,3,1,7215,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_18_12:35:31.jpg,2023_10_18_12:35:31,3,2,5919,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_24_12:06:45.jpg,2023_10_24_12:06:45,3,0,9075,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_24_12:06:45.jpg,2023_10_24_12:06:45,3,1,12588,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-3-2023_10_24_12:06:45.jpg,2023_10_24_12:06:45,3,2,8646,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_23_12:01:21.jpg,2023_10_23_12:01:21,6,0,8658,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_23_12:01:21.jpg,2023_10_23_12:01:21,6,1,10071,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-6-2023_10_23_12:01:21.jpg,2023_10_23_12:01:21,6,2,9537,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_26_12:02:43.jpg,2023_10_26_12:02:43,7,0,23394,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_26_12:02:43.jpg,2023_10_26_12:02:43,7,1,17790,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-7-2023_10_26_12:02:43.jpg,2023_10_26_12:02:43,7,2,19773,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_17_12:00:17.jpg,2023_10_17_12:00:17,2,0,9708,N/A
/home/liftlab/mnt/gdrive/RaspberryPi/New_Images/Kanjana/capture-2-2023_10_17_12:00:17.jpg,2023_10_17_12:00:17,2,1,11394,N/A
